Date,콜라겐,아르기닌,단백질보충제,단백질쉐이크,알파cd
2025-07-06,11.45227,15.18262,7.20865,18.08808,18.30805
2025-07-07,11.86471,18.30805,8.61555,22.90912,30.55771
2025-07-08,14.36231,22.00174,7.91897,22.4096,34.5172
2025-07-09,13.41826,20.29696,7.31405,22.32253,73.45676
2025-07-10,11.50268,18.72049,7.17199,20.67274,58.26497
2025-07-11,11.10398,16.2229,7.17657,18.68383,23.48196
2025-07-12,8.78969,15.67297,6.67705,15.65006,31.05265
2025-07-13,12.1855,14.5227,7.45612,18.74341,65.62027
2025-07-14,12.56587,17.55648,8.69804,23.95398,40.63516
2025-07-15,14.33939,18.45011,9.03258,24.12813,45.34164
2025-07-16,11.36978,18.97713,8.67971,22.87704,55.7353
2025-07-17,10.45781,17.89102,8.26268,21.30516,44.13179
2025-07-18,10.66403,17.419,7.30947,19.60038,89.83547
2025-07-19,11.78681,14.83433,6.50749,17.89102,83.41047
2025-07-20,10.19659,14.78392,7.20865,20.53984,50.47431
2025-07-21,10.55405,18.17056,7.92355,24.77429,27.10233
2025-07-22,11.22771,18.693,8.36808,24.16479,48.84744
2025-07-23,12.7171,17.40525,8.32684,22.69373,60.73965
2025-07-24,11.1498,17.7902,7.88231,21.04394,59.1861
2025-07-25,9.7979,17.01571,6.24169,17.54273,59.60771
2025-07-26,11.32853,14.75642,6.22794,15.26969,96.53086
2025-07-27,9.83914,14.56853,6.74121,17.65271,39.5628
2025-07-28,11.42477,18.86256,7.65776,21.8001,28.33967
2025-07-29,12.99665,21.09435,7.63942,21.3464,51.0609
2025-07-30,11.59433,18.76174,7.63484,19.27959,50.39182
2025-07-31,13.17996,17.57481,7.12616,19.35291,73.00307
2025-08-01,10.39365,15.40259,7.79524,18.88547,54.89207
2025-08-02,13.53283,15.20553,6.50291,17.01571,74.0296
2025-08-03,11.39269,15.35676,7.73566,20.30612,33.76105
2025-08-04,12.56587,18.83048,9.39003,24.34352,31.36428
2025-08-05,11.97012,20.32445,9.86205,24.39393,52.33948
2025-08-06,11.61266,19.4629,10.19201,24.06397,42.09706
2025-08-07,10.54488,16.73617,9.1609,21.92383,41.05219
2025-08-08,10.89317,16.36038,8.46432,18.97713,15.86545
2025-08-09,10.939,14.2569,7.60276,15.31093,52.07827
2025-08-10,9.57334,14.16067,8.56972,19.0642,99.34466
2025-08-11,10.7786,16.42454,8.8951,25.32881,55.66655
2025-08-12,12.51546,17.08904,8.2306,23.28949,27.86765
2025-08-13,12.25883,16.3558,7.58901,20.92479,63.13642
2025-08-14,10.20576,16.34205,6.86494,17.14403,48.51748
2025-08-15,8.54222,11.68599,6.31501,14.68768,47.70175
2025-08-16,9.28921,11.58975,5.87965,14.82058,40.27313
2025-08-17,9.53668,12.19009,7.04825,18.70216,20.70024
2025-08-18,14.68768,18.67467,8.0702,23.80734,36.61152
2025-08-19,13.53283,17.36858,9.1334,22.33169,37.77095
2025-08-20,12.66211,17.68479,8.44599,22.69373,33.03698
2025-08-21,11.51642,17.67105,8.24893,22.56083,57.1422
2025-08-22,11.24604,15.70047,7.0895,18.05141,29.10499
2025-08-23,10.48989,13.92236,5.89798,14.5777,45.22249
2025-08-24,10.63196,13.62907,7.05742,20.2053,50.71261
2025-08-25,11.13606,17.09362,8.38641,25.21424,36.94606
2025-08-26,12.06177,17.43274,7.90064,22.18046,23.12451
2025-08-27,11.09481,17.46482,8.35892,22.515,29.86114
2025-08-28,10.40282,18.99546,8.19852,20.90646,29.42578
2025-08-29,10.53572,20.66816,7.20406,16.60785,34.24682
2025-08-30,10.5403,16.77283,6.26002,14.42188,30.01695
2025-08-31,9.7979,18.03308,7.60276,22.26754,17.79936
2025-09-01,11.1498,17.98267,8.10686,28.15178,16.53911
2025-09-02,13.93153,17.85894,8.66138,25.42963,37.94968
2025-09-03,14.19733,24.34352,8.13894,23.24366,48.52206
2025-09-04,12.27258,32.88116,7.77691,21.48847,26.67613
2025-09-05,9.55501,21.41973,7.41029,19.27042,22.21254
2025-09-06,9.97662,22.86329,7.30947,15.48966,54.13592
2025-09-07,12.63461,18.06516,7.82732,19.71037,30.81893
2025-09-08,11.37894,19.77911,8.8676,23.93107,41.97332
2025-09-09,11.51184,19.63246,9.00508,23.11076,23.0466
2025-09-10,11.12231,19.55914,7.82273,21.48847,69.87764
2025-09-11,10.39365,18.63342,6.83286,19.65079,34.08643
2025-09-12,9.52751,16.8874,6.96576,16.21832,17.01571
2025-09-13,9.42211,13.85362,6.60831,14.60061,65.12533
2025-09-14,9.84831,14.72893,6.7687,17.98267,38.23839
2025-09-15,11.50726,18.1889,7.22698,20.9752,18.44095
2025-09-16,11.7364,18.34471,7.90064,20.60858,20.81939
2025-09-17,13.05623,18.26222,7.14907,19.87534,24.38018
2025-09-18,11.53934,17.03404,6.45249,18.22097,32.89033
2025-09-19,10.49447,15.77837,6.03088,15.23761,16.77741
2025-09-20,11.03982,13.17538,6.0263,12.20384,25.118
2025-09-21,10.60446,13.62907,7.23614,15.20553,40.91013
2025-09-22,11.62641,16.17249,6.74579,17.80395,28.80252
2025-09-23,11.64016,18.37221,6.74121,16.94239,38.03675
2025-09-24,12.46505,17.22194,6.41125,17.95976,25.30131
2025-09-25,12.60712,18.25305,6.53957,15.12304,14.97639
2025-09-26,9.51835,17.02488,5.21057,13.39077,17.21735
2025-09-27,11.15439,13.72072,5.03643,11.67682,19.41707
2025-09-28,11.40186,13.49159,5.02726,13.2212,11.19105
2025-09-29,12.64378,16.26873,5.4168,16.10375,25.04926
2025-09-30,11.576,15.57215,5.096,14.65102,15.80587
